PN,PID,Inspector,Profile,Fixture/Tip,Fiber Type,Cleaning,Max Kitting,,
10-3146-02,QSFP-100G-LR4-S=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,120,,
10-2666-01,DS-SFP-FC16G-SW,Fiber Check,MM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-2211-03,DWDM-SFP-6061,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-3250-02,ONS-CXP2-SR25=,Fast MT,FBN-MT-IEC-T6 MM-PC,CPAK-10kModule,MPO-24,Yes,120,,
10-2232-03,DWDM-SFP-4373=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-2475-02,DWDM-SFP-4532=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-2235-03,DWDM-SFP-4056=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-2245-03,DWDM-SFP-3112=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-2239-03,DWDM-SFP-3661=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-2477-02,DWDM-SFP-5736=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-2476-02,DWDM-SFP-6141=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-2478-02,DWDM-SFP-5332=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-2479-02,DWDM-SFP-4134=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-2223-03,DWDM-SFP-5413=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-2229-03,DWDM-SFP-4692=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-2473-02,DWDM-SFP-3346=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-2246-03,DWDM-SFP-3033=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-2221-03,DWDM-SFP-5494=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-2233-03,DWDM-SFP-4294=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-2219-03,DWDM-SFP-5655=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-3313-01,ONS-QC-16GFC-SW=,Fast MT,FBN-MT-IEC-T6 MM-PC,QSFP:Module,MPO-12,,120,,
10-2079-02,SFP-OC12-MM=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-2244-03,DWDM-SFP-3190=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-2218-03,DWDM-SFP-5817=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-1965-02,SFP-OC3-LR1=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-3113-01,DWDM-SFP10G-C-S=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-2247-03,DWDM-SFP-4851=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-2226-03,DWDM-SFP-5092=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-2566-02,FET-10G=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-3389-01,QSFP-40G-CSR-S=,Fiber Check,MM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,120,,
10-2632-01,SFP-10G-LR-X=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-2234-03,DWDM-SFP-4214=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-2230-03,DWDM-SFP-4612=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-2410-03,XFP-10G-MM-SR=,Fiber Check,MM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-2938-01,CFP-100G-ER4=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-3034-01,CXP-100G-SR12=,Fast MT,FBN-MT-IEC-T6 MM-PC,CPAK-10kModule,MPO-24,,120,,
10-3128-07,ONS-CFP2-WDM=,Fiber Check,SM_Rev.2.0,Simplex Long Reach (-L),LC,,3,,
10-2231-03,DWDM-SFP-4453=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-2241-03,DWDM-SFP-3504=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-2920-02,FET-10G=,Fast MT,FBN-MT-IEC-T6 MM-PC,QSFP:Module,MPO-12,,120,,
10-1883-03,CWDM-SFP-1510=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
10-1879-03,CWDM-SFP-1550=,Fiber Check,SM_Rev.2.0,SFP Fiber Stub (FBPT-LC),LC,,180,,
